Block_ID,Hash,Date,Time,Size,Weight,Input_total_usd,Output_total_usd,Fee_usd
404343,8bb1b3e9b48666f0e5ffc2c2b535c1f2bb88b3c12d1a54cc81c672f62c607b71,2016-03-26,2016-03-26 09:00:23,33417,133668,2027.39,2023.62,3.77077
404343,97de4267012ea267da1698da74bd8944302ec1755b4a7e05a55261fe30cfa3f6,2016-03-26,2016-03-26 09:00:23,16908,67632,1017.26,1015.35,1.90697
404343,f0c0c8fda0b75c5933964b9c01bb4b0dbaf5aba63900537ea2664ffce635730a,2016-03-26,2016-03-26 09:00:23,14941,59764,6309.98,6308.55,1.43364
404343,6f8c338c66237c28ba8181ba5c7f17c8fa2a8376dda07909742d01b831530031,2016-03-26,2016-03-26 09:00:23,16902,67608,115.072,114.063,1.00937
404343,6bacfde89425b01053e2dcbeb49f8544564fee6148d80da5f9cf5a6d4d87d538,2016-03-26,2016-03-26 09:00:23,26444,105776,3329.49,3327.93,1.55611
404344,e2fa35ca832b0ea883209088110ddee7728e8f53c3fc83384be876048eac0bc7,2016-03-26,2016-03-26 09:01:40,17190,68760,9.93272,8.83924,1.09348
404345,ed71fdb1eb3d02dcecd18f5f6235d1ecfdd164c75876ae5ebd47c01924e2d135,2016-03-26,2016-03-26 09:03:25,68303,273212,1261.71,1255.91,5.80387
404346,3418bb82231472a824b424d8d41aa56abc09cc438ef63026e35a9fe59445c471,2016-03-26,2016-03-26 09:08:08,68302,273208,1086.31,1080.51,5.80387
404347,ae3c19fe816c5b6db1b3c013b41ebae0a87282a0b7535795e2610cde5823d2c8,2016-03-26,2016-03-26 09:11:28,57129,228516,3231.65,3217.58,14.0696
404347,9a9ecc905d32fcfac4748dd65bcb213b4ad047d3dfee6d1ad9d136828a6eca82,2016-03-26,2016-03-26 09:11:28,61558,246232,204.793,189.633,15.1597
404347,38263251c2026383ce731a3467ea0bb6b359f4bcb1566636079a7e2b61bb2f0c,2016-03-26,2016-03-26 09:11:28,7264,29056,3221.14,3219.35,1.78759
404347,b9209f2d432071fdf1976e3ab72d241f584015e7a813a79ca6e2f59c10833970,2016-03-26,2016-03-26 09:11:28,68303,273212,907.003,901.199,5.80387
404348,3c003c07fad342293d1028b76baea3b87a49adcc35c2298d9f841ffc809f552b,2016-03-26,2016-03-26 09:12:27,68304,273216,718.078,712.274,5.80387
404349,060c82e93f4b8664da6b2c9508f041e7644e142c5b2c8670526b7cd43a04d3fb,2016-03-26,2016-03-26 09:16:39,68303,273212,519.272,513.468,5.80387
404350,d48016d55641d348dbc2d2035dc88b0d1e0c0fc38ab77e6d6e7282b24c9a7449,2016-03-26,2016-03-26 09:25:13,68303,273212,331.354,325.55,5.80387
404350,48bd056aa3664a2b54bef3c77cde9c7f04d2e5299ae58a19415e72c39051c5a6,2016-03-26,2016-03-26 09:25:13,52900,211600,151.334,146.708,4.62627
404351,8599cff9fce181390818a938973a6a2ce69dadbb9e2a4add4050b1c1cfd0e981,2016-03-26,2016-03-26 10:02:38,2553,10212,6022.67,6020.98,1.69279
404351,7e3833dd787f02eed6ff273317f2dbe6c11f60417f0249585582738e56220398,2016-03-26,2016-03-26 10:02:38,2108,8432,1453.89,1452.57,1.31823
404351,b28b0e5a5ea07c80c4511dcb009e109543f0847fcdad6bbe6e7ec758953eafca,2016-03-26,2016-03-26 10:02:38,44747,178988,210295,210285,10.3996
