block_id,hash,time,size,version,lock_time,is_coinbase,input_count,output_count,input_total,input_total_usd,output_total,output_total_usd,fee,fee_usd,fee_per_kb,fee_per_kb_usd,cdd_total
509346,e1a29787a51425a3880181f96623f7b0e00ee271861192cc2e44328e4db5b6a5,12/20/17 19:26,4060,1,509345,0,27,2,1002751272,40653.1406,1001000002,40582.1406,1751270,70.9993,431347,17.4875,0.025961709
509287,dce96799d4caacabf14e86f15d78e4acc11ed24a0727204269991f1b87e2e7d7,12/20/17 09:41,4208,1,509212,0,28,2,1002750931,40653.125,1001000026,40582.1406,1750905,70.9845,416090,16.869,0
509066,2ddcbc818a99c8fed9861756248568665ca8df659e0fc734ebaaa37c0c072291,12/19/17 01:47,6570,1,509065,0,44,2,1003611979,27115.1875,1001000039,27044.6191,2611940,70.5684,397556,10.741,0.610509185
509552,02d4aa8aab1e6b585c4cf9ffe83a9e66da0ef44b14b3c22951d2454b81561f9e,12/22/17 09:54,5538,1,509551,0,37,2,1003449184,28824.3789,1001000034,28754.0273,2449150,70.3526,442244,12.7036,0
509369,cc56e6df90b0def758ed5914b74c920c89a0006e0b24ee81ba1399c6ea0ec90d,12/20/17 23:05,7750,1,0,0,52,2,101902819,4131.3032,100196699,4062.1345,1706120,69.1688,220145,8.925,14.78859775
509098,b63a0292869558495b739a83061a44884932e3baaa31ab848325e1ec58f5fcba,12/19/17 08:56,5536,1,509097,0,37,2,1003558299,27113.7363,1001000014,27044.6172,2558285,69.1187,462118,12.4853,0.059342263
509339,fd0265be9bd6cf37ae67810b5cdb104f1e4e723c15eb9e9e03d35d8534764e30,12/20/17 18:15,192,1,509338,0,1,1,979795400,39722.4727,978095400,39653.5508,1700000,68.9207,8854170,358.9621,0
509541,e75acd9bbc7f08112f00f3a1a8fc0bcc97fe4508094e60e9328227d022cb8a4e,12/22/17 08:15,5974,1,509540,0,40,2,1003397710,28822.9004,1001000025,28754.0254,2397685,68.8742,401353,11.529,0
509247,2e0a8b5a8767b3ae25e873e5f8f15ab0f7a21ee62c8cbb9de61b2ad150517377,12/20/17 04:29,5238,2,509246,0,35,2,141951793,5754.9526,140269233,5686.7388,1682560,68.2137,321222,13.0229,0
509478,8cb917c74a6d28ace68b3d5d56ad061eb110aea394fa0e81bac8f0cb7ff2ddfa,12/21/17 19:16,5235,1,509477,0,35,2,1002965903,34737.5234,1001000013,34669.4336,1965890,68.0882,375528,13.0063,0.141584162
510019,4425a0b1a56b6da66824083321d96c66d21fdb5a19efabb2ed11db6f9c7d98b2,12/25/17 13:54,5686,1,510018,0,38,2,1003289655,29733.8926,1001000010,29666.0352,2289645,67.8568,402681,11.934,0.007852939
